index,title,cast,director,keywords,genres,soup
24,Leaving Las Vegas,"['nicolascage', 'elisabethshue', 'juliansands']",mikefiggis,"['individual', 'prostitute', 'alcohol']","['drama', 'romance']","['individual', 'prostitute', 'alcohol', 'nicolascage', 'elisabethshue', 'juliansands', 'mikefiggis', 'drama', 'romance']"
25,Othello,"['laurencefishburne', 'irènejacob', 'kennethbranagh']",oliverparker,"['shakespeare', 'jealousy', 'friends']",['drama'],"['shakespeare', 'jealousy', 'friends', 'laurencefishburne', 'irènejacob', 'kennethbranagh', 'oliverparker', 'drama']"
26,Now and Then,"['christinaricci', ""rosieo'donnell"", 'thorabirch']",leslilinkaglatter,"['1970s', 'femalefriendship', 'comingofage']","['comedy', 'drama', 'family']","['1970s', 'femalefriendship', 'comingofage', 'christinaricci', ""rosieo'donnell"", 'thorabirch', 'leslilinkaglatter', 'comedy', 'drama', 'family']"
27,Persuasion,"['amandaroot', 'ciaránhinds', 'susanfleetwood']",rogermichell,"['captain', 'napoleonicwars', 'oldflame']","['drama', 'romance']","['captain', 'napoleonicwars', 'oldflame', 'amandaroot', 'ciaránhinds', 'susanfleetwood', 'rogermichell', 'drama', 'romance']"
28,The City of Lost Children,"['ronperlman', 'dominiquepinon', 'judithvittet']",jean-pierrejeunet,"['clone', 'dream', 'island']","['fantasy', 'sciencefiction', 'adventure']","['clone', 'dream', 'island', 'ronperlman', 'dominiquepinon', 'judithvittet', 'jean-pierrejeunet', 'fantasy', 'sciencefiction', 'adventure']"
29,Shanghai Triad,"['gongli', 'libao-tian', 'wangxiaoxiao']",zhangyimou,"['servant', 'cabaret', 'shanghai']","['drama', 'crime']","['servant', 'cabaret', 'shanghai', 'gongli', 'libao-tian', 'wangxiaoxiao', 'zhangyimou', 'drama', 'crime']"
30,Dangerous Minds,"['michellepfeiffer', 'georgedzundza', 'courtneyb.vance']",johnn.smith,"['rapmusic', 'karate', 'highschool']","['drama', 'crime']","['rapmusic', 'karate', 'highschool', 'michellepfeiffer', 'georgedzundza', 'courtneyb.vance', 'johnn.smith', 'drama', 'crime']"
31,Twelve Monkeys,"['brucewillis', 'madeleinestowe', 'bradpitt']",terrygilliam,"['schizophrenia', 'philadelphia', 'cassandrasyndrom']","['sciencefiction', 'thriller', 'mystery']","['schizophrenia', 'philadelphia', 'cassandrasyndrom', 'brucewillis', 'madeleinestowe', 'bradpitt', 'terrygilliam', 'sciencefiction', 'thriller', 'mystery']"
32,Wings of Courage,"['craigsheffer', 'elizabethmcgovern', 'tomhulce']",jean-jacquesannaud,[],"['romance', 'adventure']","['craigsheffer', 'elizabethmcgovern', 'tomhulce', 'jean-jacquesannaud', 'romance', 'adventure']"
33,Babe,"['christinecavanaugh', 'miriammargolyes', 'dannymann']",chrisnoonan,"['sheep', 'pig', 'affection']","['fantasy', 'drama', 'comedy']","['sheep', 'pig', 'affection', 'christinecavanaugh', 'miriammargolyes', 'dannymann', 'chrisnoonan', 'fantasy', 'drama', 'comedy']"
34,Carrington,"['emmathompson', 'jonathanpryce', 'stevenwaddington']",christopherhampton,"['england', 'painter', 'conscientiousobjector']","['history', 'drama', 'romance']","['england', 'painter', 'conscientiousobjector', 'emmathompson', 'jonathanpryce', 'stevenwaddington', 'christopherhampton', 'history', 'drama', 'romance']"
35,Dead Man Walking,"['susansarandon', 'seanpenn', 'robertprosky']",timrobbins,"['prison', 'rape', 'sociallydeprivedfamily']",['drama'],"['prison', 'rape', 'sociallydeprivedfamily', 'susansarandon', 'seanpenn', 'robertprosky', 'timrobbins', 'drama']"
36,Across the Sea of Time,"['peterreznick', 'johnmcdonough', 'avihoffman']",stephenlow,[],"['adventure', 'history', 'drama']","['peterreznick', 'johnmcdonough', 'avihoffman', 'stephenlow', 'adventure', 'history', 'drama']"
37,It Takes Two,"['kirstiealley', 'steveguttenberg', 'ashleyolsen']",andytennant,"['orphan', 'identicaltwin']","['comedy', 'family', 'romance']","['orphan', 'identicaltwin', 'kirstiealley', 'steveguttenberg', 'ashleyolsen', 'andytennant', 'comedy', 'family', 'romance']"
38,Clueless,"['aliciasilverstone', 'staceydash', 'brittanymurphy']",amyheckerling,"['puberty', 'highschool', 'makeamatch']","['comedy', 'drama', 'romance']","['puberty', 'highschool', 'makeamatch', 'aliciasilverstone', 'staceydash', 'brittanymurphy', 'amyheckerling', 'comedy', 'drama', 'romance']"
39,"Cry, the Beloved Country","['jamesearljones', 'charless.dutton', 'jackrobinson']",darrelljamesroodt,['southafrica'],['drama'],"['southafrica', 'jamesearljones', 'charless.dutton', 'jackrobinson', 'darrelljamesroodt', 'drama']"
40,Richard III,"['ianmckellen', 'annettebening', 'jimbroadbent']",richardloncraine,"['england', 'shakespeare', 'kidnapping']","['drama', 'war']","['england', 'shakespeare', 'kidnapping', 'ianmckellen', 'annettebening', 'jimbroadbent', 'richardloncraine', 'drama', 'war']"
41,Dead Presidents,"['larenztate', 'keithdavid', 'christucker']",alberthughes,"['money', 'lossofvirginity', 'hidinginadumpster']","['action', 'crime', 'drama']","['money', 'lossofvirginity', 'hidinginadumpster', 'larenztate', 'keithdavid', 'christucker', 'alberthughes', 'action', 'crime', 'drama']"
42,Restoration,"['robertdowneyjr.', 'megryan', 'samneill']",michaelhoffman,"['jealousy', 'medicine', 'fountain']","['drama', 'romance']","['jealousy', 'medicine', 'fountain', 'robertdowneyjr.', 'megryan', 'samneill', 'michaelhoffman', 'drama', 'romance']"
43,Mortal Kombat,"['christopherlambert', 'robinshou', 'lindenashby']",paulw.s.anderson,"['martialarts', 'monster', 'island']","['action', 'fantasy']","['martialarts', 'monster', 'island', 'christopherlambert', 'robinshou', 'lindenashby', 'paulw.s.anderson', 'action', 'fantasy']"
44,To Die For,"['nicolekidman', 'mattdillon', 'joaquinphoenix']",gusvansant,"['adultery', 'winter', 'obsession']","['fantasy', 'drama', 'comedy']","['adultery', 'winter', 'obsession', 'nicolekidman', 'mattdillon', 'joaquinphoenix', 'gusvansant', 'fantasy', 'drama', 'comedy']"
45,How To Make An American Quilt,"['winonaryder', 'annebancroft', 'ellenburstyn']",jocelynmoorhouse,"['weddingvows', 'marriageproposal', 'marriedcouple']","['drama', 'romance']","['weddingvows', 'marriageproposal', 'marriedcouple', 'winonaryder', 'annebancroft', 'ellenburstyn', 'jocelynmoorhouse', 'drama', 'romance']"
46,Se7en,"['bradpitt', 'morganfreeman', 'gwynethpaltrow']",davidfincher,"['self-fulfillingprophecy', 'detective', 's.w.a.t.']","['crime', 'mystery', 'thriller']","['self-fulfillingprophecy', 'detective', 's.w.a.t.', 'bradpitt', 'morganfreeman', 'gwynethpaltrow', 'davidfincher', 'crime', 'mystery', 'thriller']"
47,Pocahontas,"['irenebedard', 'melgibson', 'davidogdenstiers']",mikegabriel,"['cultureclash', 'settler', 'forbiddenlove']","['adventure', 'animation', 'drama']","['cultureclash', 'settler', 'forbiddenlove', 'irenebedard', 'melgibson', 'davidogdenstiers', 'mikegabriel', 'adventure', 'animation', 'drama']"
48,When Night Is Falling,"['pascalebussières', 'rachaelcrawford', 'henryczerny']",patriciarozema,"['professor', 'lgbt', 'womandirector']","['drama', 'romance']","['professor', 'lgbt', 'womandirector', 'pascalebussières', 'rachaelcrawford', 'henryczerny', 'patriciarozema', 'drama', 'romance']"
49,The Usual Suspects,"['stephenbaldwin', 'gabrielbyrne', 'chazzpalminteri']",bryansinger,"['law', 'relatives', 'theft']","['drama', 'crime', 'thriller']","['law', 'relatives', 'theft', 'stephenbaldwin', 'gabrielbyrne', 'chazzpalminteri', 'bryansinger', 'drama', 'crime', 'thriller']"
50,Guardian Angel,"['cynthiarothrock', 'marshallr.teague', 'danielmcvicar']",richardw.munchkin,[],"['action', 'thriller', 'drama']","['cynthiarothrock', 'marshallr.teague', 'danielmcvicar', 'richardw.munchkin', 'action', 'thriller', 'drama']"
51,Mighty Aphrodite,"['woodyallen', 'mirasorvino', 'helenabonhamcarter']",woodyallen,"['prostitute', 'adoption', 'adoptivefather']","['comedy', 'romance']","['prostitute', 'adoption', 'adoptivefather', 'woodyallen', 'mirasorvino', 'helenabonhamcarter', 'woodyallen', 'comedy', 'romance']"
52,Lamerica,"['enricoloverso', 'micheleplacido', 'piromilkani']",gianniamelio,['independentfilm'],"['drama', 'foreign']","['independentfilm', 'enricoloverso', 'micheleplacido', 'piromilkani', 'gianniamelio', 'drama', 'foreign']"
53,The Big Green,"['steveguttenberg', ""oliviad'abo"", 'jayo.sanders']",hollygoldbergsloan,"['sport', 'kidsandfamily', 'soccer']","['action', 'adventure', 'comedy']","['sport', 'kidsandfamily', 'soccer', 'steveguttenberg', ""oliviad'abo"", 'jayo.sanders', 'hollygoldbergsloan', 'action', 'adventure', 'comedy']"
54,Georgia,"['jenniferjasonleigh', 'marewinningham', 'tedlevine']",ulugrosbard,"['alcohol', 'artist', 'music']",['drama'],"['alcohol', 'artist', 'music', 'jenniferjasonleigh', 'marewinningham', 'tedlevine', 'ulugrosbard', 'drama']"
55,Kids of the Round Table,"['johnnymorina', 'malcolmmcdowell', 'maggiecastle']",roberttinnell,[],[],"['johnnymorina', 'malcolmmcdowell', 'maggiecastle', 'roberttinnell']"
56,Home for the Holidays,"['hollyhunter', 'robertdowneyjr.', 'annebancroft']",jodiefoster,"['baltimore', 'thanksgiving', 'familyclan']","['comedy', 'drama', 'romance']","['baltimore', 'thanksgiving', 'familyclan', 'hollyhunter', 'robertdowneyjr.', 'annebancroft', 'jodiefoster', 'comedy', 'drama', 'romance']"
57,The Postman,"['philippenoiret', 'massimotroisi', 'mariagraziacucinotta']",michaelradford,"['island', 'letter', 'postman']","['comedy', 'drama', 'romance']","['island', 'letter', 'postman', 'philippenoiret', 'massimotroisi', 'mariagraziacucinotta', 'michaelradford', 'comedy', 'drama', 'romance']"
58,The Confessional,"['lothairebluteau', 'patrickgoyette', 'jean-louismillette']",robertlepage,[],"['thriller', 'drama', 'mystery']","['lothairebluteau', 'patrickgoyette', 'jean-louismillette', 'robertlepage', 'thriller', 'drama', 'mystery']"
59,The Indian in the Cupboard,"['halscardino', 'litefoot', 'lindsaycrouse']",frankoz,"['cupboard', 'games', 'puppet']","['adventure', 'family', 'fantasy']","['cupboard', 'games', 'puppet', 'halscardino', 'litefoot', 'lindsaycrouse', 'frankoz', 'adventure', 'family', 'fantasy']"
60,Eye for an Eye,"['sallyfield', 'kiefersutherland', 'edharris']",johnschlesinger,"['rape', 'gun', 'self-defense']","['drama', 'thriller']","['rape', 'gun', 'self-defense', 'sallyfield', 'kiefersutherland', 'edharris', 'johnschlesinger', 'drama', 'thriller']"
61,Mr. Holland's Opus,"['richarddreyfuss', 'glenneheadly', 'jaythomas']",stephenherek,"['composer', 'mentor', 'deaf-mute']","['music', 'drama', 'family']","['composer', 'mentor', 'deaf-mute', 'richarddreyfuss', 'glenneheadly', 'jaythomas', 'stephenherek', 'music', 'drama', 'family']"
62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"['shawnwayans', 'marlonwayans', 'traceycherellejones']",parisbarclay,"['date', 'slang', 'hip-hop']",['comedy'],"['date', 'slang', 'hip-hop', 'shawnwayans', 'marlonwayans', 'traceycherellejones', 'parisbarclay', 'comedy']"
63,Two If by Sea,"['sandrabullock', 'denisleary', 'yaphetkotto']",billbennett,"['island', 'painting', 'thief']","['comedy', 'romance']","['island', 'painting', 'thief', 'sandrabullock', 'denisleary', 'yaphetkotto', 'billbennett', 'comedy', 'romance']"
64,Bio-Dome,"['paulyshore', 'stephenbaldwin', 'joeylaurenadams']",jasonbloom,"['biotope', 'vegetarian', 'pollution']",['comedy'],"['biotope', 'vegetarian', 'pollution', 'paulyshore', 'stephenbaldwin', 'joeylaurenadams', 'jasonbloom', 'comedy']"
65,Lawnmower Man 2: Beyond Cyberspace,"['patrickbergin', 'mattfrewer', ""austino'brien""]",farhadmann,"['hacker', 'virtualreality', 'computer']","['action', 'sciencefiction']","['hacker', 'virtualreality', 'computer', 'patrickbergin', 'mattfrewer', ""austino'brien"", 'farhadmann', 'action', 'sciencefiction']"
66,Two Bits,"['jerrybarone', 'alpacino', 'maryelizabethmastrantonio']",jamesfoley,[],"['drama', 'family']","['jerrybarone', 'alpacino', 'maryelizabethmastrantonio', 'jamesfoley', 'drama', 'family']"
67,French Twist,"['victoriaabril', 'josianebalasko', 'alainchabat']",josianebalasko,"['lovetriangle', 'southernfrance', 'estateagent']","['comedy', 'romance']","['lovetriangle', 'southernfrance', 'estateagent', 'victoriaabril', 'josianebalasko', 'alainchabat', 'josianebalasko', 'comedy', 'romance']"
68,Friday,"['icecube', 'christucker', 'nialong']",f.garygray,"['rapmusic', 'parentchildrelationship', 'rapper']",['comedy'],"['rapmusic', 'parentchildrelationship', 'rapper', 'icecube', 'christucker', 'nialong', 'f.garygray', 'comedy']"
69,From Dusk Till Dawn,"['georgeclooney', 'quentintarantino', 'harveykeitel']",robertrodriguez,"['dancing', 'brotherbrotherrelationship', 'sexualobsession']","['horror', 'action', 'thriller']","['dancing', 'brotherbrotherrelationship', 'sexualobsession', 'georgeclooney', 'quentintarantino', 'harveykeitel', 'robertrodriguez', 'horror', 'action', 'thriller']"
70,Fair Game,"['williambaldwin', 'cindycrawford', 'stevenberkoff']",andrewsipes,"['bomb', 'miami', 'sex']","['action', 'thriller', 'romance']","['bomb', 'miami', 'sex', 'williambaldwin', 'cindycrawford', 'stevenberkoff', 'andrewsipes', 'action', 'thriller', 'romance']"
71,Kicking and Screaming,"['joshhamilton', ""oliviad'abo"", 'carlosjacott']",noahbaumbach,['college'],"['comedy', 'drama', 'romance']","['college', 'joshhamilton', ""oliviad'abo"", 'carlosjacott', 'noahbaumbach', 'comedy', 'drama', 'romance']"
72,Les Miserables,"['jean-paulbelmondo', 'michelboujenah', 'alessandramartines']",claudelelouch,"['paris', 'nun', 'boxer']","['drama', 'history']","['paris', 'nun', 'boxer', 'jean-paulbelmondo', 'michelboujenah', 'alessandramartines', 'claudelelouch', 'drama', 'history']"
73,Bed of Roses,"['christianslater', 'marystuartmasterson', 'pamelaadlon']",michaelgoldenberg,"['florist', 'familyrelationships']","['drama', 'romance']","['florist', 'familyrelationships', 'christianslater', 'marystuartmasterson', 'pamelaadlon', 'michaelgoldenberg', 'drama', 'romance']"
74,Big Bully,"['rickmoranis', 'tomarnold', 'juliannephillips']",steveminer,['bully'],"['comedy', 'family']","['bully', 'rickmoranis', 'tomarnold', 'juliannephillips', 'steveminer', 'comedy', 'family']"
75,Screamers,"['peterweller', 'roydupuis', 'jenniferrubin']",christianduguay,"['manvsmachine', 'alienplanet', 'struggleforsurvival']","['horror', 'sciencefiction']","['manvsmachine', 'alienplanet', 'struggleforsurvival', 'peterweller', 'roydupuis', 'jenniferrubin', 'christianduguay', 'horror', 'sciencefiction']"
76,Nico Icon,"['nico', 'tinaaumont', 'jacksonbrowne']",susanneofteringer,[],['documentary'],"['nico', 'tinaaumont', 'jacksonbrowne', 'susanneofteringer', 'documentary']"
77,The Crossing Guard,"['jacknicholson', 'davidmorse', 'anjelicahuston']",seanpenn,"['lossofdaughter', 'hit-and-rundriving', 'revenge']","['drama', 'thriller']","['lossofdaughter', 'hit-and-rundriving', 'revenge', 'jacknicholson', 'davidmorse', 'anjelicahuston', 'seanpenn', 'drama', 'thriller']"
78,The Juror,"['demimoore', 'alecbaldwin', 'josephgordon-levitt']",briangibson,"['jurors', 'blackmail', 'courtcase']","['drama', 'thriller']","['jurors', 'blackmail', 'courtcase', 'demimoore', 'alecbaldwin', 'josephgordon-levitt', 'briangibson', 'drama', 'thriller']"
79,The White Balloon,"['aidamohammadkhani', 'mohsenkafili', 'fereshtehsadreorafaiy']",jafarpanahi,"['fish', 'money', 'celebration']","['family', 'drama']","['fish', 'money', 'celebration', 'aidamohammadkhani', 'mohsenkafili', 'fereshtehsadreorafaiy', 'jafarpanahi', 'family', 'drama']"
80,Things to Do in Denver When You're Dead,"['andygarcía', 'christopherlloyd', 'williamforsythe']",garyfleder,"['fathersonrelationship', 'bountyhunter', 'boat']","['drama', 'crime']","['fathersonrelationship', 'bountyhunter', 'boat', 'andygarcía', 'christopherlloyd', 'williamforsythe', 'garyfleder', 'drama', 'crime']"
81,Antonia's Line,"['willekevanammelrooy', 'elsdottermans', 'doravandergroen']",marleengorris,"['suicide', 'underdog', 'freelove']","['drama', 'comedy']","['suicide', 'underdog', 'freelove', 'willekevanammelrooy', 'elsdottermans', 'doravandergroen', 'marleengorris', 'drama', 'comedy']"
82,Once Upon a Time... When We Were Colored,"['alfreeman,jr.', 'phyliciarashād', 'paulakelly']",timreid,"['racialsegregation', 'familyrelationships', 'ruralsetting']","['romance', 'drama']","['racialsegregation', 'familyrelationships', 'ruralsetting', 'alfreeman,jr.', 'phyliciarashād', 'paulakelly', 'timreid', 'romance', 'drama']"
83,Last Summer in the Hamptons,"['victoriafoyt', 'vivecalindfors', 'jonrobinbaitz']",henryjaglom,[],[],"['victoriafoyt', 'vivecalindfors', 'jonrobinbaitz', 'henryjaglom']"
84,Angels and Insects,"['markrylance', 'kristinscottthomas', 'patsykensit']",philiphaas,"['classsociety', 'richwoman-poorman', 'scientist']","['drama', 'romance']","['classsociety', 'richwoman-poorman', 'scientist', 'markrylance', 'kristinscottthomas', 'patsykensit', 'philiphaas', 'drama', 'romance']"
85,White Squall,"['jeffbridges', 'carolinegoodall', 'johnsavage']",ridleyscott,"['sailingtrip', 'diary', 'sailing']","['action', 'drama']","['sailingtrip', 'diary', 'sailing', 'jeffbridges', 'carolinegoodall', 'johnsavage', 'ridleyscott', 'action', 'drama']"
86,Dunston Checks In,"['jasonalexander', 'fayedunaway', 'ericlloyd']",kenkwapis,"['boss', 'fistfight', 'bully']","['adventure', 'comedy', 'family']","['boss', 'fistfight', 'bully', 'jasonalexander', 'fayedunaway', 'ericlloyd', 'kenkwapis', 'adventure', 'comedy', 'family']"
87,Black Sheep,"['chrisfarley', 'davidspade', 'grantheslov']",penelopespheeris,"['nitrousoxide', 'candidcamera', 'doubleact']",['comedy'],"['nitrousoxide', 'candidcamera', 'doubleact', 'chrisfarley', 'davidspade', 'grantheslov', 'penelopespheeris', 'comedy']"
88,Nick of Time,"['johnnydepp', 'courtneychase', 'charless.dutton']",johnbadham,"['assassination', 'trainstation', 'politics']","['crime', 'drama', 'thriller']","['assassination', 'trainstation', 'politics', 'johnnydepp', 'courtneychase', 'charless.dutton', 'johnbadham', 'crime', 'drama', 'thriller']"
89,The Journey of August King,"['jasonpatric', 'thandienewton', 'larrydrake']",johnduigan,[],['drama'],"['jasonpatric', 'thandienewton', 'larrydrake', 'johnduigan', 'drama']"
90,Mary Reilly,"['juliaroberts', 'johnmalkovich', 'georgecole']",stephenfrears,"['servant', 'monster', 'laboratory']","['drama', 'horror', 'thriller']","['servant', 'monster', 'laboratory', 'juliaroberts', 'johnmalkovich', 'georgecole', 'stephenfrears', 'drama', 'horror', 'thriller']"
91,Vampire in Brooklyn,"['eddiemurphy', 'angelabassett', 'allenpayne']",wescraven,"['vampire', 'halfvampire']","['comedy', 'horror', 'romance']","['vampire', 'halfvampire', 'eddiemurphy', 'angelabassett', 'allenpayne', 'wescraven', 'comedy', 'horror', 'romance']"
92,Beautiful Girls,"['mattdillon', 'noahemmerich', 'annabethgish']",teddemme,['hometown'],"['comedy', 'drama', 'romance']","['hometown', 'mattdillon', 'noahemmerich', 'annabethgish', 'teddemme', 'comedy', 'drama', 'romance']"
93,Broken Arrow,"['johntravolta', 'christianslater', 'samanthamathis']",johnwoo,"['helicopter', 'river', 'captain']","['action', 'adventure', 'drama']","['helicopter', 'river', 'captain', 'johntravolta', 'christianslater', 'samanthamathis', 'johnwoo', 'action', 'adventure', 'drama']"
94,A Midwinter's Tale,"['richardbriers', 'joancollins', 'michaelmaloney']",kennethbranagh,"['play', 'hamlet', 'christmas']",['comedy'],"['play', 'hamlet', 'christmas', 'richardbriers', 'joancollins', 'michaelmaloney', 'kennethbranagh', 'comedy']"
95,La Haine,"['vincentcassel', 'hubertkoundé', 'saïdtaghmaoui']",mathieukassovitz,"['paris', 'neo-nazi', 'skinhead']",['drama'],"['paris', 'neo-nazi', 'skinhead', 'vincentcassel', 'hubertkoundé', 'saïdtaghmaoui', 'mathieukassovitz', 'drama']"
96,Shopping,"['sadiefrost', 'judelaw', 'seanpertwee']",paulw.s.anderson,[],"['action', 'adventure', 'drama']","['sadiefrost', 'judelaw', 'seanpertwee', 'paulw.s.anderson', 'action', 'adventure', 'drama']"
